GAL_Prox Taper Len_Bln,GAL_Prox Grind Len_BLN,GAL_Prox OD 2_BLN,Class
0.24,92,1.5658,1
0.23,92,1.5625,1
0.24,92,1.5655,1
0.23,92,1.5643,1
0.24,92,1.5644,1
0.25,92,1.563,1
0.26,92,1.5637,1
0.24,92,1.5632,1
0.23,92,1.5637,1
0.25,92,1.5607,1
0.27,92,1.5614,1
0.26,92,1.5622,1
0.26,92,1.5586,1
0.26,92,1.559,1
0.25,92,1.5596,1
0.3,92,1.5595,1
0.24,92,1.5591,1
0.2,92,1.5641,1
0.3,92,1.5704,1
0.26,92,1.5643,1
0.24,92,1.5636,1
0.23,92,1.5586,1
0.22,92,1.5591,1
0.22,92,1.5585,1
0.24,92,1.558,1
0.22,92,1.5577,1
0.25,92,1.5585,1
0.22,92,1.5589,1
0.22,92,1.559,1
0.24,92,1.5644,1
0.26,92,1.5638,1
0.24,92,1.561,1
0.25,92,1.5615,1
0.25,92,1.5629,1
0.25,92,1.5635,1
0.25,92,1.5624,1
0.24,92,1.5655,1
0.24,92,1.5643,1
0.24,92,1.5643,1
0.25,92,1.5622,1
0.25,92,1.5643,1
0.25,92,1.5596,1
0.24,92,1.5626,1
0.24,92,1.5637,1
0.25,92,1.5602,1
0.25,92,1.5604,1
0.26,92,1.5612,1
0.26,92,1.5634,1
0.25,92,1.559,1
0.27,92,1.5624,1
0.26,92,1.5647,1
0.27,92,1.5609,1
0.28,92,1.5609,1
0.26,92,1.5629,1
0.28,92,1.5644,1
0.26,92,1.5639,1
0.27,92,1.5636,1
0.27,92,1.5635,1
0.26,92,1.5633,1
0.26,92,1.563,1
0.27,92,1.5604,1
0.27,92,1.5598,1
0.26,92,1.5558,1
0.26,92,1.5564,1
0.3,92,1.5545,1
0.28,92,1.5566,1
0.25,92,1.5562,1
0.24,92,1.5606,1
0.23,92,1.5618,1
0.26,92,1.5574,1
0.25,92,1.5581,1
0.25,92,1.5595,1
0.24,92,1.559,1
0.24,92,1.5575,1
0.25,92,1.5573,1
0.25,92,1.5581,1
0.23,92,1.5587,1
0.28,92,1.558,1
0.24,92,1.5595,1
0.24,92,1.5594,1
0.23,92,1.561,1
0.26,92,1.5607,1
0.28,92,1.5619,1
0.26,92,1.5624,1
0.23,92,1.5582,1
0.26,92,1.559,1
0.31,92,1.5584,1
0.27,92,1.5586,1
0.24,92,1.5606,1
0.25,92,1.5621,1
0.23,92,1.5632,1
0.24,92,1.5633,1
0.24,92,1.5624,1
0.23,92,1.568,1
0.23,92,1.5631,1
0.25,92,1.564,1
0.3,92,1.5638,1
0.26,92,1.5626,1
0.25,92,1.5625,1
0.25,92,1.5618,1
0.24,91,1.8076,2
0.27,91,1.808,2
0.28,91,1.8108,2
0.27,91,1.8083,2
0.26,91,1.8079,2
0.27,91,1.8088,2
0.26,91,1.8069,2
0.234,91,1.8067,2
0.32,91,1.8084,2
0.3,91,1.8072,2
0.27,91,1.8113,2
0.26,91,1.8076,2
0.3,91,1.8079,2
0.3,91,1.8083,2
0.3,91,1.8065,2
0.27,91,1.8082,2
0.3,91,1.8092,2
0.27,91,1.8058,2
0.27,91,1.8081,2
0.3,91,1.8101,2
0.27,91,1.8061,2
0.26,91,1.8079,2
0.26,91,1.8094,2
0.25,91,1.8108,2
0.28,91,1.8087,2
0.3,91,1.8077,2
0.28,91,1.8084,2
0.3,91,1.8102,2
0.27,91,1.8081,2
0.27,91,1.8079,2
0.3,91,1.8085,2
0.25,91,1.8083,2
0.25,91,1.8095,2
0.26,91,1.8064,2
0.3,91,1.8095,2
0.26,91,1.8096,2
0.28,91,1.8071,2
0.26,91,1.8068,2
0.26,91,1.8087,2
0.25,91,1.8073,2
0.3,91,1.8069,2
0.27,91,1.808,2
0.29,91,1.8104,2
0.3,91,1.814,2
0.3,91,1.8066,2
0.28,91,1.8057,2
0.25,91,1.8052,2
0.27,91,1.8087,2
0.27,91,1.8073,2
0.28,91,1.8092,2
0.27,91,1.8071,2
0.26,91,1.8083,2
0.3,91,1.8076,2
0.27,91,1.8068,2
0.26,91,1.8108,2
0.3,91,1.8048,2
0.3,91,1.8076,2
0.31,91,1.8083,2
0.29,91,1.8071,2
0.32,91,1.8077,2
