Cost,Fuel
12.26,Diesel
5.13,Diesel
3.32,Diesel
14.72,Diesel
4.17,Diesel
12.72,Diesel
8.89,Diesel
9.95,Diesel
2.94,Diesel
5.06,Diesel
17.86,Diesel
11.75,Diesel
13.25,Diesel
10.14,Diesel
6.22,Diesel
12.9,Diesel
5.69,Diesel
16.77,Diesel
17.65,Diesel
21.52,Diesel
13.22,Diesel
12.18,Diesel
9.22,Diesel
11.53,Diesel
12.43,Petrol
2.7,Petrol
1.35,Petrol
5.78,Petrol
5.05,Petrol
5.78,Petrol
10.98,Petrol
14.27,Petrol
15.09,Petrol
7.61,Petrol
5.8,Petrol
3.63,Petrol
5.07,Petrol
6.15,Petrol
14.26,Petrol
2.59,Petrol
6.05,Petrol
2.7,Petrol
7.73,Petrol
14.02,Petrol
17.44,Petrol
8.24,Petrol
13.37,Petrol
10.78,Petrol
